created_at,entry_id,field1,field2,field3,field4,latitude,longitude,elevation,status
2019-01-27T15:21:57+00:00,97,,,23.4,46.6,,,,
2019-01-27T15:26:27+00:00,98,9.9,18.6,,,,,,
2019-01-27T15:26:58+00:00,99,,,23.3,47.9,,,,
2019-01-27T15:31:57+00:00,100,,,23.4,47.8,,,,
2019-01-27T15:36:27+00:00,101,10,16.6,,,,,,
2019-01-27T15:36:58+00:00,102,,,23.5,47.7,,,,
2019-01-27T15:41:27+00:00,103,10,17.1,,,,,,
2019-01-27T15:41:58+00:00,104,,,23.3,47.8,,,,
2019-01-27T15:46:27+00:00,105,8.8,14.8,,,,,,
2019-01-27T15:46:58+00:00,106,,,23.3,48.2,,,,
2019-01-27T15:51:27+00:00,107,8.9,15.8,,,,,,
2019-01-27T15:51:58+00:00,108,,,23.4,48.8,,,,
2019-01-27T15:56:27+00:00,109,9,14.3,,,,,,
2019-01-27T15:56:58+00:00,110,,,23.4,49,,,,
2019-01-27T16:01:57+00:00,111,,,23.4,49,,,,
2019-01-27T16:06:27+00:00,112,8.5,14,,,,,,
2019-01-27T16:06:58+00:00,113,,,23.4,49,,,,
2019-01-27T16:11:27+00:00,114,9.2,15.2,,,,,,
2019-01-27T16:11:58+00:00,115,,,23.3,48.1,,,,
2019-01-27T16:16:27+00:00,116,8.9,14.6,,,,,,
2019-01-27T16:16:58+00:00,117,,,23.5,48.8,,,,
2019-01-27T16:21:27+00:00,118,9,18.2,,,,,,
2019-01-27T16:21:58+00:00,119,,,23.4,48.7,,,,
2019-01-27T16:26:57+00:00,120,,,23.4,48.8,,,,
2019-01-27T16:31:57+00:00,121,,,23.4,48.9,,,,
2019-01-27T16:36:27+00:00,122,9.2,19.7,,,,,,
2019-01-27T16:36:58+00:00,123,,,23.5,48.9,,,,
2019-01-27T16:41:57+00:00,124,,,23.5,49.3,,,,
2019-01-27T16:46:57+00:00,125,,,23.5,49,,,,
2019-01-27T16:51:57+00:00,126,,,23.5,50.2,,,,
2019-01-27T16:56:57+00:00,127,,,23.5,50.1,,,,
2019-01-27T17:01:27+00:00,128,9.8,18.1,,,,,,
2019-01-27T17:01:58+00:00,129,,,23.6,50.3,,,,
2019-01-27T17:06:27+00:00,130,8.8,15.1,,,,,,
2019-01-27T17:06:58+00:00,131,,,23.7,50.4,,,,
2019-01-27T17:11:28+00:00,132,24.7,39.9,,,,,,
2019-01-27T17:11:58+00:00,133,,,23.7,50.3,,,,
2019-01-27T17:16:57+00:00,134,,,23.5,44.7,,,,
2019-01-27T17:21:27+00:00,135,26.4,42.8,,,,,,
2019-01-27T17:21:58+00:00,136,,,23.1,39.9,,,,
2019-01-27T17:26:27+00:00,137,26.4,40.4,,,,,,
2019-01-27T17:26:58+00:00,138,,,22.8,37.7,,,,
2019-01-27T17:31:58+00:00,139,,,22.7,38.3,,,,
2019-01-27T17:36:27+00:00,140,27,43,,,,,,
2019-01-27T17:36:58+00:00,141,,,22.6,37.6,,,,
2019-01-27T17:41:27+00:00,142,26,39.9,,,,,,
2019-01-27T17:41:58+00:00,143,,,22.5,36.2,,,,
2019-01-27T17:46:57+00:00,144,,,22.4,35.3,,,,
2019-01-27T17:51:57+00:00,145,,,22.2,38.5,,,,
2019-01-27T17:56:57+00:00,146,,,22.5,41.3,,,,
2019-01-27T18:01:27+00:00,147,16.5,27.3,,,,,,
2019-01-27T18:01:58+00:00,148,,,22.6,41.4,,,,
2019-01-27T18:06:27+00:00,149,15.7,26.9,,,,,,
2019-01-27T18:06:58+00:00,150,,,22.8,42.5,,,,
2019-01-27T18:11:27+00:00,151,14.7,23.5,,,,,,
2019-01-27T18:11:58+00:00,152,,,22.9,43.5,,,,
2019-01-27T18:16:27+00:00,153,15.6,24,,,,,,
2019-01-27T18:16:58+00:00,154,,,22.9,44.1,,,,
2019-01-27T18:21:27+00:00,155,14.4,24,,,,,,
2019-01-27T18:21:57+00:00,156,,,23.1,44.3,,,,
2019-01-27T18:26:57+00:00,157,,,23.1,45,,,,
2019-01-27T18:31:27+00:00,158,14.6,24.2,,,,,,
2019-01-27T18:31:58+00:00,159,,,23.2,45.5,,,,
2019-01-27T18:36:57+00:00,160,,,23.3,45.9,,,,
2019-01-27T18:41:57+00:00,161,,,23.4,46.3,,,,
